"","date","username","text"
"1","2020-01-21 23:59:58","reeddrew2","... and then check yourself into a mental health facility."
"2","2020-01-21 23:59:42","MentalHealthEsq","Handling Dementia in Prison - ELIZABETH KELLEY https://www.elizabethkelleylaw.com/2/post/2019/06/handling-dementia-in-prison.html … #Dementia @RPRISONISSUES @propublica"
"3","2020-01-21 23:59:38","kasahyad","ㅤㅤㅤㅤㅤㅤAnd we left things to protect my mental health ㅤBut you'll call me when you're bored and you're playing with yourself ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ pic.twitter.com/QchBQtyZS3"
"4","2020-01-21 23:59:36","mariavallecillo","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"5","2020-01-21 23:59:32","DrLauraNichols","6 Ways Science Says Dogs Are Actually Good For You — Body & Soul https://www.pawp.com//6-ways-science-says-dogs-are-actually-good-for-you-body-and-soul … #ottawa #mentalhealth #dogs"
"6","2020-01-21 23:59:27","lizzylouwho02","No. I sat and listened, at a townhall meeting, to testimony after testimony of people directly affected by these people and the common plea was for mental health to be added for them. Not to let them die."
"7","2020-01-21 23:59:27","ErrantPilgrim","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"8","2020-01-21 23:59:26","Patrick_Donohue","Therapy at 12:30. Best run in a long time at 5. Mental health is health, fam."
"9","2020-01-21 23:59:22","Khaanom_","Couple years back I read something about how homeless people actually become homeless, it may be trauma, mental health, guilt even a choice some times. Praying for my brothers and sisters from the bottom of my heart in these cold days."
"10","2020-01-21 23:59:21","KristinaaKhaled","I need friends who check on me, friends that ask about my mental health, ask if I’m ok, ask if I need a shoulder to cry on. But there’s no one"
"11","2020-01-21 23:59:17","LENTJUELA","Even Puerto Rican Women Struggle with Mental Health – Chronicles of a Latina https://latinanina.wordpress.com/2020/01/19/even-puerto-rican-women-struggle-with-mental-health/ …"
"12","2020-01-21 23:59:09","Vh1syoungvon","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"13","2020-01-21 23:59:08","bludoll__","Politicians’ feeling would not survive on here but then I remember a lot of politicians are actually psychopaths and or entitled/privileged assholes. Tweets should be a breeze in regards to their mental health...."
"14","2020-01-21 23:59:03","MoveHappyTeam","Day job is regional marketing Manager day 3 for a Poker App co! 2 businesses in mental health curriculum trainings and teachings for B2B and social media trainings for small business owners"
"15","2020-01-21 23:58:53","zaccharius","if the nba cares about mental health they way they say they do them it is"
"16","2020-01-21 23:58:52","_madewithspice","It’s really the small wins when it comes to mental health/illness that matter and build you back up ."
"17","2020-01-21 23:58:45","bullock_bear","Police can’t do *anything* more than they already do when there are no detox beds, mediocre (at best) mental health services and months long waiting lists for rehab programs. This is a fact."
"18","2020-01-21 23:58:42","Bigaussiephill","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"19","2020-01-21 23:58:40","geishabird","And as for guns I don’t believe more laws fixes the mental health issue we have. I didn’t vote for Trump because I thought he was amazing I voted for Trump because I thought every politician is a giant liar. They do nothing for the people but divide us to keep the focus off them."
"20","2020-01-21 23:58:37","zarawatson010","My Mental Health Got Better After I Gave Up True Crime https://healthsnutrition.com/my-mental-health-got-better-after-i-gave-up-true-crime/ …pic.twitter.com/ZdQVlmhVdv"
"21","2020-01-21 23:58:34","Nnp17WRNcxfuLAB","do you know how many #mentalhealth #claims @SunLife denies evey year? @Google it!!! why would @NBA @Raptors associate with a #company like this? Deny claims & spend the money on #NBA #Raptors #Advertising --- #LetsTalk #sunlife #MentalHealthAwareness #Lawyers"
"22","2020-01-21 23:58:33","iheartMonaco","Mental health is SO important."
"23","2020-01-21 23:58:21","Sarah_Davis_95","in my Etiology class this term (Getting my MA in mental health counseling) and we are spending a good portion of our class on Autism....Interesting to see this side of it when I have been watching @FatheringAutism for so long"
"24","2020-01-21 23:58:17","AlyshondraM","I’m IN, will teach Simple Hobbies for Social Anxiety, help with makeovers, take pictures of the red carpet, and be on a panel “You’re Not Broken, Just Different” about mental health strategies."
"25","2020-01-21 23:58:15","paulettesaure","I appreciate you being open about mental health. Sorry you have to deal with jerks along the way."
"26","2020-01-21 23:58:10","BrynnMasters","Mental health is not that black and white. There is more those around them could be doing, cause they sure don’t mind making money off them."
"27","2020-01-21 23:58:06","shotvaizawa","my mental health has truly been great for the past few weeks ive only tweeted on my priv once since christmas im so proud of myself"
"28","2020-01-21 23:58:01","TapintoSafety","Are you looking to better support employee mental health? With the bushfire crisis affecting many Australians, your employees need additional support. https://buff.ly/2LIHTxw #mentalhealth #employeementalhealth #mentalhealthtrainingpic.twitter.com/3z2UslLCFa"
"29","2020-01-21 23:57:58","naninicc","i asked a member at the gym i work at what he was working on today and he laughed and said mental health"
"30","2020-01-21 23:57:58","jainecurley","#LosingIt I got to the point where I had to voluntarily set up my own mental health support group in my community because it was needed. It shouldn’t have to happen but people are desperate."
"31","2020-01-21 23:57:50","trinitymarais_","I just heard about the “limelights” hating on jack because of his mental health and that is just sick. Like what is the matter with you."
"32","2020-01-21 23:57:40","LaneCountyDA","Today we celebrated 3 graduations from Lane County Mental Health Court. Congratulations!"
"33","2020-01-21 23:57:38","ILoveCalinda","Wrong....ppl cope with mental health issues using drugs... Not the other way around. https://twitter.com/jhallproduction/status/1219434380189409280 …"
"34","2020-01-21 23:57:29","jae__bby","How do you stop having feelings for people who don't reciprocate or are not good for your mental health??? Not asking for a friend."
"35","2020-01-21 23:57:27","SentientYusuke","Bro I remember last year I watched that Billie Eilish interview where she did it again 1 year later and I was So Worried for her but she did it a THIRD time and it seems like she's in a better place now and focusing on her mental health more... I am glad"
"36","2020-01-21 23:57:27","mayginmcewen","#PrisonReform #MentalHealthAwareness Jails are not mental health facilities. Sheriff's deputies are not trained to recognize mental health issues. I just took action with @theactionnet: Share your story . Take action here:https://actionnetwork.org/forms/share-your-story-54?source=twitter& …"
"37","2020-01-21 23:57:24","GennaroSam","Mental health"
"38","2020-01-21 23:57:24","_satveernijjar","Great to return for my 5th year to deliver @strsglos .Thanks to all the lovely yr12 #students, staff and parents who attended my sessions on #mentalhealth & #selfharm awareness today - I look forward to returning! #trailblazers #PSHE #PDC"
"39","2020-01-21 23:57:23","DaculaHS","Parents choose from sessions on Dual Enrollment, Advanced Placement, and mental health awareness after attending an academic fair at our Academic Planning Night! Thank you to our counselors and everyone who presented tonight AND those who attended! pic.twitter.com/o7bsopi3LO"
"40","2020-01-21 23:57:20","softitty",":( this makes me so sad. pls if you still wanna stay in touch w me i have a private acc where i ~rarely~ tweet abt my ed and i also have instagram. i don’t think you should stay on here if it worsens your mental health:("
"41","2020-01-21 23:57:20","MatthewTMangino","Hospitals cited for calling police on mental health patients #mentalillness http://www.mattmangino.com/2020/01/hospitals-cited-for-calling-police-on.html?spref=tw …"
"42","2020-01-21 23:57:18","NadineMarshallx","a can’t stand folk that preach about mental health all over social media, no point preaching about it but sit and bitch about people and their relationship and what they do with their lifefuck off."
"43","2020-01-21 23:57:17","IndianNegra","Mental health is sooooo important"
"44","2020-01-21 23:57:16","silbackup","How about colouring/painting? Even that bs where they give you the numbers and you fill it in lol .. I mean it’s quite calming but can be rewarding too. Great for mental health"
"45","2020-01-21 23:57:08","GraceflLady","Even after yesterday they still don’t grasp that it’s a mental health problem."
"46","2020-01-21 23:57:08","chantelled22","I say this every quarter, but this is dead ass the hardest quarter I’ve taken lol I’m never taking two sciences and a math class ever again. My mental health is way more important"
"47","2020-01-21 23:57:06","katie_cryptid","I say I got off Twitter for awhile for my mental health but the truth is my first one was locked and on my second one the only people I followed were my ex and her friends so yeah... but not I'm actually back with a vengeance"
"48","2020-01-21 23:57:02","chaa_zy94","I love how she makes me aware more abt mental health not just for an adult but also for children & parents. it takes a village(grandparent, teachers or neighbours) to raise a happy, healthy children So proud of her https://twitter.com/KensingtonRoyal/status/1219749126428151814 …"
"49","2020-01-21 23:57:00","cryolashades","mental health who i dont know her"
"50","2020-01-21 23:56:59","LoganAl59473670","Hey Lucy, your dogs are so cute!! I’m excited to work with you in the mental health field once we all graduate (here’s hoping )"
"51","2020-01-21 23:56:55","fibrereloaded","For mental health sakes, lets hope ""But he's your Father, She's your Mother, Your Brother, Your Sister"" was left in 2019!"
"52","2020-01-21 23:56:53","revkev44","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"53","2020-01-21 23:56:52","chrsnthmms","i’m literally about to pass out in my mental health policies class rn like i’m so tired and still feel so sick it’s great"
"54","2020-01-21 23:56:50","nana5_az","State or Fed childcare assistance might make a difference. If mental health assistance is allowed, the mother would need childcare in order to seek out help . Other countries allow for childcare assistance. 3 children under the age of 3 w/o help would try the best among us."
"55","2020-01-21 23:56:49","NextLearningAU","Virtual reality may be the next frontier in remote mental health care http://sco.lt/8CSd4i pic.twitter.com/MUHfpdeHzt"
"56","2020-01-21 23:56:49","DrHowardLiu","Stay tuned - and yes we will have diverse experts, advocates and peers on to share their insights on mental health practice and culture!"
"57","2020-01-21 23:56:49","MrsFlashHider_","Some people only see the streamer as ""someone who enjoys playing games"". But the amount of streamers that I see who has depression, anxiety, and all other mental health issue is a lot. It's job. It wouldn't stress them out if it's not. It's something that pays their bills."
"58","2020-01-21 23:56:48","MxstressX","Mental health services in this country are a fucking joke I hate it here."
"59","2020-01-21 23:56:45","Keepitonthedeck","Who knows, neither of us know Pickford, but you could imagine it can't be nice to see the World mugging you off. Olivier is a hypocrite is more the point at hand here worth pointing out, someone who preaches about being the ""NICE GUY"" and all about the ""MENTAL HEALTH"" yeah sure!"
"60","2020-01-21 23:56:43","GingerSlim","Ah man, he's a fucking legend. Those podcasts have taught me so much, especially about mental health. I want to interview him one day"
"61","2020-01-21 23:56:38","JayHollingshed","I coach driven individuals through the problems they have and don’t want, to the success they see and can’t reach. #HighPerformance #MindsetCoach #Speaker #Philosopher #MentalHealth #jayHOLLiNGSHED #7PillarsOfMentalPerformance 1-833-822-MIND (6463)pic.twitter.com/Bz5Uyd7rDk"
"62","2020-01-21 23:56:35","95vminies","I wish schools had mental health days... like some days it’s not that I’m physically sick, but it’s I’m in such a bad mindset I can’t even bring myself to want to get out of bed"
"63","2020-01-21 23:56:35","brenhamtxac","Less than 3 weeks from District Convention! Anchors from all over the state come together and celebrate our achievements. We bond, learn more about mental health, and grow as a leader. Registration closes this Sat,… https://www.instagram.com/p/B7mdZpAg-pi/?igshid=1bj27h9oikifv …"
"64","2020-01-21 23:56:33","SunriseBH","Congressman praises new Akron Children’s facility for mental health care - http://WKBN.com http://dlvr.it/RNVGHv pic.twitter.com/0MaRsupoyY"
"65","2020-01-21 23:56:32","DogtorLife","The therapy of gifts @AnotherAznTart you might like this esp with your buddy box mental health project :) https://youtu.be/kBtM5sH3zg8"
"66","2020-01-21 23:56:27","thewitchydoula","Libra moon in 10th. She’s a traumatized human who hasn’t learned any healthy ways of coping with her mental health/disorders. Underneath her disorders she really tries her best to do good, and she really loves with her all when she does. Even if it doesn’t seem like it."
"67","2020-01-21 23:56:26","moocowpup","My main concern is my mental health. I do not handle burning the wick at both ends well but it would be so good for our long term goals. Honestly, my gut is telling me to rescind my app and see if another opportunity comes along"
"68","2020-01-21 23:56:25","saulscot","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"69","2020-01-21 23:56:24","Kerryn_Rhodes","Mental health injury as a result of a workplace incident. Not one class in my undergrad, post grad cert/dip or Masters. 8 years of mandatory online modules at work - not one mental health module. Awareness throughout our career is a priority #SmashtheStigma. #M4Nurses"
"70","2020-01-21 23:56:24","chantelled22","Decided to cut back on work so I can focus strictly on school. My mental health will be a little better once that’s off my plate"
"71","2020-01-21 23:56:19","vacantlyvertigo","... and so many other people care too. your unhappiness is valid, your stress is valid and your ultimate confusion or frustration with your emotions is valid. your mental health is just as important as drinking water. love you, have a swell day. been a strange few years,"
"72","2020-01-21 23:56:17","vacantlyvertigo","as i am still technically a child for about 15 mins- i wanna say some stuff before i do the adulting thing. - women’s rights. -trans rights - lgbtq+ rights -equal rights - look after your friends, their physical and mental wellbeing. -support your own mental health"
"73","2020-01-21 23:56:16","_DailyDizzle","I try my best :) some days it’s harder for me to be a bubbly person as mental health is a huge factor. But I like to see others happy if I can make them feel that way"
"74","2020-01-21 23:56:12","axle_b12","Mental Health is a very important topic for discussion. Something we need to talk about more to create a positive result and help those who truly need it. Delonte West was at one point in his time a very reliable guy to have on an NBA roster. It can happen to anyone! #CHANGE"
"75","2020-01-21 23:56:07","retroarithmetic","from hernandez to delonte and now we see the saga of AB. dnt comment if u cant comprehend that mental health issues & a person's behavior cant be answered with right or wrong...only healing & love can help"
"76","2020-01-21 23:56:06","g_eddiepromo","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"77","2020-01-21 23:56:02","chrom8bb","By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20."
"78","2020-01-21 23:55:58","simon_enefer","To anyone struggling to decide on a future career. Choose the mental health field and you will never, ever be short of work. A good 20-30% of the West's population is clinically insane. https://twitter.com/anapsid/status/1219760841924513793 …"
