date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-21 23:59:58,reeddrew2,JpcCoffey,0,0,0,"... and then check yourself into a mental health facility.",,,,1219771649635033091,https://twitter.com/reeddrew2/status/1219771649635033091
2020-01-21 23:59:42,MentalHealthEsq,,0,0,0,"Handling Dementia in Prison - ELIZABETH KELLEY https://www.elizabethkelleylaw.com/2/post/2019/06/handling-dementia-in-prison.html … #Dementia @RPRISONISSUES @propublica",,@RPRISONISSUES @propublica,#Dementia,1219771584891670530,https://twitter.com/MentalHealthEsq/status/1219771584891670530
2020-01-21 23:59:38,kasahyad,,0,4,18,"ㅤㅤㅤㅤㅤㅤAnd we left things to protect my mental health ㅤBut you'll call me when you're bored and you're playing with yourself ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ pic.twitter.com/QchBQtyZS3",,,,1219771565895815176,https://twitter.com/kasahyad/status/1219771565895815176
2020-01-21 23:59:36,mariavallecillo,,0,0,0,"By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20.",,@BofA_News,#MentalHealth #PowerTo #WEF20,1219771559730204672,https://twitter.com/mariavallecillo/status/1219771559730204672
2020-01-21 23:59:32,DrLauraNichols,,0,0,0,"6 Ways Science Says Dogs Are Actually Good For You — Body & Soul https://www.pawp.com//6-ways-science-says-dogs-are-actually-good-for-you-body-and-soul … #ottawa #mentalhealth #dogs",,,#ottawa #mentalhealth #dogs,1219771541208141826,https://twitter.com/DrLauraNichols/status/1219771541208141826
2020-01-21 23:59:27,lizzylouwho02,daiicol,1,0,1,"No. I sat and listened, at a townhall meeting, to testimony after testimony of people directly affected by these people and the common plea was for mental health to be added for them. Not to let them die.",,,,1219771522908180482,https://twitter.com/lizzylouwho02/status/1219771522908180482
2020-01-21 23:59:27,ErrantPilgrim,,0,0,0,"By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20.",,@BofA_News,#MentalHealth #PowerTo #WEF20,1219771521339621377,https://twitter.com/ErrantPilgrim/status/1219771521339621377
2020-01-21 23:59:26,Patrick_Donohue,,0,0,2,"Therapy at 12:30. Best run in a long time at 5. Mental health is health, fam.",,,,1219771516608487428,https://twitter.com/Patrick_Donohue/status/1219771516608487428
2020-01-21 23:59:22,Khaanom_,,1,0,1,"Couple years back I read something about how homeless people actually become homeless, it may be trauma, mental health, guilt even a choice some times. Praying for my brothers and sisters from the bottom of my heart in these cold days.",,,,1219771498778460160,https://twitter.com/Khaanom_/status/1219771498778460160
2020-01-21 23:59:21,KristinaaKhaled,,0,5,12,"I need friends who check on me, friends that ask about my mental health, ask if I’m ok, ask if I need a shoulder to cry on. But there’s no one",,,,1219771496161316865,https://twitter.com/KristinaaKhaled/status/1219771496161316865
2020-01-21 23:59:17,LENTJUELA,,0,1,0,"Even Puerto Rican Women Struggle with Mental Health – Chronicles of a Latina https://latinanina.wordpress.com/2020/01/19/even-puerto-rican-women-struggle-with-mental-health/ …",,,,1219771477806981121,https://twitter.com/LENTJUELA/status/1219771477806981121
2020-01-21 23:59:09,Vh1syoungvon,,0,0,0,"By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20.",,@BofA_News,#MentalHealth #PowerTo #WEF20,1219771446060290053,https://twitter.com/Vh1syoungvon/status/1219771446060290053
2020-01-21 23:59:08,bludoll__,,0,0,0,"Politicians’ feeling would not survive on here but then I remember a lot of politicians are actually psychopaths and or entitled/privileged assholes. Tweets should be a breeze in regards to their mental health....",,,,1219771441605947398,https://twitter.com/bludoll__/status/1219771441605947398
2020-01-21 23:59:03,MoveHappyTeam,LaurenAlexa84,0,0,0,"Day job is regional marketing Manager day 3 for a Poker App co! 2 businesses in mental health curriculum trainings and teachings for B2B and social media trainings for small business owners",,,,1219771419149643776,https://twitter.com/MoveHappyTeam/status/1219771419149643776
2020-01-21 23:58:53,zaccharius,D_Gardner5,1,1,3,"if the nba cares about mental health they way they say they do them it is",,,,1219771378104242176,https://twitter.com/zaccharius/status/1219771378104242176
2020-01-21 23:58:52,_madewithspice,,0,0,1,"It’s really the small wins when it comes to mental health/illness that matter and build you back up .",,,,1219771372190289921,https://twitter.com/_madewithspice/status/1219771372190289921
2020-01-21 23:58:45,bullock_bear,JonSThompson,0,0,1,"Police can’t do *anything* more than they already do when there are no detox beds, mediocre (at best) mental health services and months long waiting lists for rehab programs. This is a fact.",,,,1219771344977526785,https://twitter.com/bullock_bear/status/1219771344977526785
2020-01-21 23:58:42,Bigaussiephill,,0,0,0,"By tackling #MentalHealth we’re harnessing the #PowerTo make a positive impact on the world. Thanks @BofA_News for keeping me informed on #WEF20.",,@BofA_News,#MentalHealth #PowerTo #WEF20,1219771332704948229,https://twitter.com/Bigaussiephill/status/1219771332704948229
2020-01-21 23:58:40,geishabird,,0,0,0,"And as for guns I don’t believe more laws fixes the mental health issue we have. I didn’t vote for Trump because I thought he was amazing I voted for Trump because I thought every politician is a giant liar. They do nothing for the people but divide us to keep the focus off them.",,,,1219771323951603712,https://twitter.com/geishabird/status/1219771323951603712
2020-01-21 23:58:37,zarawatson010,,0,0,0,"My Mental Health Got Better After I Gave Up True Crime https://healthsnutrition.com/my-mental-health-got-better-after-i-gave-up-true-crime/ …pic.twitter.com/ZdQVlmhVdv",,,,1219771312056545280,https://twitter.com/zarawatson010/status/1219771312056545280
2020-01-21 23:58:34,Nnp17WRNcxfuLAB,Bell_LetsTalk,1,0,0,"do you know how many #mentalhealth #claims @SunLife denies evey year? @Google it!!! why would @NBA @Raptors associate with a #company like this? Deny claims & spend the money on #NBA #Raptors #Advertising --- #LetsTalk #sunlife #MentalHealthAwareness #Lawyers",,@SunLife @Google @NBA @Raptors,#mentalhealth #claims #company #NBA #Raptors #Advertising #LetsTalk #sunlife #MentalHealthAwareness #Lawyers,1219771297057726464,https://twitter.com/Nnp17WRNcxfuLAB/status/1219771297057726464
2020-01-21 23:58:33,iheartMonaco,,0,19,14,"Mental health is SO important.",,,,1219771292527792128,https://twitter.com/iheartMonaco/status/1219771292527792128
2020-01-21 23:58:21,Sarah_Davis_95,,0,0,1,"in my Etiology class this term (Getting my MA in mental health counseling) and we are spending a good portion of our class on Autism....Interesting to see this side of it when I have been watching @FatheringAutism for so long",,@FatheringAutism,,1219771244553363456,https://twitter.com/Sarah_Davis_95/status/1219771244553363456
2020-01-21 23:58:17,AlyshondraM,TheRotund,0,0,8,"I’m IN, will teach Simple Hobbies for Social Anxiety, help with makeovers, take pictures of the red carpet, and be on a panel “You’re Not Broken, Just Different” about mental health strategies.",,,,1219771227964760065,https://twitter.com/AlyshondraM/status/1219771227964760065
2020-01-21 23:58:15,paulettesaure,cameron_kasky,0,0,0,"I appreciate you being open about mental health. Sorry you have to deal with jerks along the way.",,,,1219771218825334785,https://twitter.com/paulettesaure/status/1219771218825334785
2020-01-21 23:58:10,BrynnMasters,TaylorGelbrich,1,0,1,"Mental health is not that black and white. There is more those around them could be doing, cause they sure don’t mind making money off them.",,,,1219771197203910656,https://twitter.com/BrynnMasters/status/1219771197203910656
2020-01-21 23:58:06,shotvaizawa,,0,0,0,"my mental health has truly been great for the past few weeks ive only tweeted on my priv once since christmas im so proud of myself",,,,1219771180246355973,https://twitter.com/shotvaizawa/status/1219771180246355973
2020-01-21 23:58:01,TapintoSafety,,0,0,0,"Are you looking to better support employee mental health? With the bushfire crisis affecting many Australians, your employees need additional support. https://buff.ly/2LIHTxw #mentalhealth #employeementalhealth #mentalhealthtrainingpic.twitter.com/3z2UslLCFa",,,#mentalhealth #employeementalhealth #mentalhealthtrainingpic,1219771160914747392,https://twitter.com/TapintoSafety/status/1219771160914747392
2020-01-21 23:57:58,naninicc,,1,0,1,"i asked a member at the gym i work at what he was working on today and he laughed and said mental health",,,,1219771147199234053,https://twitter.com/naninicc/status/1219771147199234053
2020-01-21 23:57:58,jainecurley,,0,1,1,"#LosingIt I got to the point where I had to voluntarily set up my own mental health support group in my community because it was needed. It shouldn’t have to happen but people are desperate.",,,#LosingIt,1219771147023278081,https://twitter.com/jainecurley/status/1219771147023278081
2020-01-21 23:57:50,trinitymarais_,,1,0,2,"I just heard about the “limelights” hating on jack because of his mental health and that is just sick. Like what is the matter with you.",,,,1219771113645002753,https://twitter.com/trinitymarais_/status/1219771113645002753
2020-01-21 23:57:40,LaneCountyDA,,0,0,3,"Today we celebrated 3 graduations from Lane County Mental Health Court. Congratulations!",,,,1219771070602833926,https://twitter.com/LaneCountyDA/status/1219771070602833926
2020-01-21 23:57:38,ILoveCalinda,jhallproduction,0,0,0,"Wrong....ppl cope with mental health issues using drugs... Not the other way around. https://twitter.com/jhallproduction/status/1219434380189409280 …",,,,1219771063975972864,https://twitter.com/ILoveCalinda/status/1219771063975972864
2020-01-21 23:57:29,jae__bby,,1,0,1,"How do you stop having feelings for people who don't reciprocate or are not good for your mental health??? Not asking for a friend.",,,,1219771025929359360,https://twitter.com/jae__bby/status/1219771025929359360
2020-01-21 23:57:27,SentientYusuke,,1,0,1,"Bro I remember last year I watched that Billie Eilish interview where she did it again 1 year later and I was So Worried for her but she did it a THIRD time and it seems like she's in a better place now and focusing on her mental health more... I am glad",,,,1219771019113549824,https://twitter.com/SentientYusuke/status/1219771019113549824
